name,description,recommendation
碳排放量,农业生产过程中因能源消耗、化肥施用、土地利用变化等产生的二氧化碳当量排放总量,KEEP
直辖市,中国省级行政单位，包括北京、天津、上海、重庆，享有中央直接管辖权,DELETE
空间滞后模型,在回归方程中引入被解释变量空间滞后项以刻画空间溢出效应的计量模型,KEEP
空间误差模型,在误差项中引入空间自相关结构以处理扰动项空间依赖的计量模型,KEEP
粮食功能区,国家依据粮食生产功能划分的三类区域：粮食主产区、粮食主销区和产销平衡区，具有差异化政策导向。,KEEP
沪港通,2014年11月17日启动的上海证券交易所与香港交易所互联互通机制，为深港通提供制度先验与运行基础。,DELETE
香港专业投资者,依据《证券及期货条例》及《专业投资者规则》界定的机构、法团及高净值个人投资者，适用差异化监管与信息披露豁免。,KEEP
香港零售投资者,未达专业投资者标准的普通投资者，享有更严格的信息披露、风险揭示与销售行为规范保护。,KEEP
无结构的劳动力市场,费希尔提出的概念，指缺乏正式制度约束、高度依赖非正式社会关系、准入门槛低、年龄性别包容性强的劳动力配置机制,KEEP
师傅,外地劳力内部采收环节的基层技术骨干和小组负责人，每100人配置1名，承担技能指导与质量初筛职责。,DELETE
片长/组长,外地劳力内部最小管理单元负责人，每30人左右设1名，执行具体任务分派与现场协调。,KEEP
zhang and wen (2008),分析地方政府执行环境政策不力的制度成因的实证研究,KEEP
周黎安 (2004),提出地方政府‘为增长而竞争’理论框架的中文经典文献,KEEP
resset数据库,锐思金融数据库，提供中国资本市场高频与另类数据支持,KEEP
可抵押资产率（tang）,固定资产与总资产之比，衡量企业可用于抵押的实物资产比例，影响债务融资能力。,KEEP
市值账面比,公司市值与其账面净资产之比，本文作为控制变量纳入回归模型，反映市场对企业成长性与无形资产的预期，用于排除基本面因素对机构持股决策的干扰。,KEEP
non-market interactions,Glaeser与Scheinkman于2003年收录于Econometrics World Congress论文集的理论综述，界定非市场互动的经济分析边界。,KEEP
"you can’t pay them enough: subsidies, environmental law, and social norms",Green于2006年在Harvard Environmental Law Review发表的跨学科论文，分析补贴政策与环境规范的交互效应。,KEEP
does religion matter in corporate decision making in america?,Hilary与Hui于2009年JFE发表的宗教地理匹配研究，发现CEO宗教背景显著影响企业社会责任投入水平。,KEEP
the price of sin: the effects of social norms on markets,Hong与Kacperczyk于2009年JFE提出的‘罪恶股溢价’理论，量化社会规范对资本市场定价的非财务约束。,KEEP
welfare state disincentives with endogenous habits and norms,Lindbeck于1995年Scandinavian Journal of Economics提出的福利国家动态模型，引入习惯与规范内生形成机制。,KEEP
environmental activisms of firm’s neighboring residents,Liu等2010年发表于Journal of Cleaner Production的中国实证研究，证实社区居民环境抗争显著提升企业污染治理投入。,KEEP
industrial pollution control policies in asia,Markandya与Shibli于1995年AJEM评估亚洲国家污染治理政策有效性，指出执行能力弱于制度设计缺陷。,KEEP
a simple model of capital market equilibrium with incomplete information,Merton于1987年JF提出的不完全信息均衡模型，为信息经济学在金融市场的应用奠定基础。,KEEP
information regulation of industrial pollution in developing countries,Pargal与Wheeler于1996年JPE发表的印尼案例研究，验证环境信息披露制度对污染减排的实际效力。,KEEP
the theory of social custom,Romer于1984年QJE提出的习俗内生理论，将社会习俗建模为个体最优策略互动的纳什均衡结果。,KEEP
environmental politics and policy,Rosenbaum于1998年CQ Press出版的环境政治学教科书，系统梳理美国环境政策制定中的权力博弈结构。,KEEP
red sky at morning: america and the crisis of the global environment,Speth于2004年耶鲁大学出版社出版的全球环境危机批判著作，强调制度变革而非技术改良的紧迫性。,KEEP
rationality and freedom,Sen于2002年哈佛大学出版社出版的哲学经济学专著，重构理性概念以兼容自由、权利与实质机会平等。,KEEP
the effect of socially activist investment policies,Teoh等1999年Journal of Business发表的南非撤资运动研究，首次量化道德投资对目标企业融资成本的影响。,KEEP
review and challenges of policies of environmental protection and sustainable development in china,Zhang与Wen于2008年JEM发表的中国环境政策评估，指出多头管理、地方保护主义与执法资源不足三大结构性矛盾。,KEEP
利润,剩余价值在现象形态上的转化形式，体现资本对劳动成果的占有关系。,DELETE
何自力,南开大学经济学院教授，马克思主义政治经济学学者，专注于资本理论与社会主义市场经济研究。,DELETE
王奕,本文合作者，南开大学经济学院研究人员，参与资本规范发展与政治经济学理论创新研究。,DELETE
不变资本,用于购买生产资料的那部分资本，其价值在生产过程中不发生增殖，仅转移到新产品中。,KEEP
可变资本,用于购买劳动力的那部分资本，其价值在生产过程中通过剩余劳动被重新生产并增殖，是剩余价值的唯一来源。,KEEP
让-巴蒂斯特·萨伊,法国庸俗经济学家，提出‘生产要素创造各自收入’的萨伊定律，将资本物质形态直接等同于利润来源，成为资本拜物教的理论代表。,KEEP
必要个人价值,社会主义条件下劳动者必要工作日中用于满足自身及家庭消费的价值凝结，区别于资本主义必要劳动,KEEP
资本量,衡量资本规模的经济指标，文中指出私有资本须达到历史规定的最低限额才构成真正意义上的资本,DELETE
彭玉生,社会学家，与黄宗智合作研究中国农村变迁，关注人口结构、就业转移与农业转型的交互机制。,DELETE
周健,清华大学历史系教授，专长清代华北乡村社会组织史，代表作聚焦青苗会等传统互助组织的功能演化。,DELETE
周立群,长期从事农业产业化与农村组织形态演变研究的经济学家。,DELETE
劳动力要素投入,本文以家庭从事农业超3个月人数与实际经营农地面积之比表征。,KEEP
省会城市,省级行政区政治、经济与文化中心，通常具有更强的政策执行能力、资源集聚能力和制度创新能力,KEEP
chen 和 roth (2024),应用泊松DID模型处理零膨胀计数数据的前沿方法论论文，为工商资本数量型指标建模提供技术支撑,KEEP
三支一扶,高校毕业生到基层从事支农、支教、支医和扶贫工作的服务计划，属人才下乡支持政策。,KEEP
低代偿率地区,农业经营主体违约率低、信用状况良好、农担代偿负担轻的区域,KEEP
高代偿率地区,农业经营主体违约率高、信用状况较差、农担代偿负担重的区域,KEEP
样本量,实证研究中使用的有效观测数量，文中涉及3352–3696户农户调查数据。,DELETE
标准化处理,将变量转换为均值为0、标准差为1的标准正态分布过程，便于跨变量量纲可比性分析。,KEEP
张帆,南京农业大学金融学院学者，本文第二作者，聚焦农村金融支持乡村振兴的机制与效应。,DELETE
赵虎,江苏省农业农村厅发展指导办公室官员，本文第四作者，参与地方乡村振兴政策设计与实施评估。,DELETE
卢杰,兴民农场会计，观察到南北区产量差距逐年扩大的趋势，佐证风气差异的实证基础,DELETE
承包制,兴民农场采用的经营组织形式，将土地分包给个体承包人，形成责任明确但风气敏感的治理结构,DELETE
谭培文,中国马克思主义理论学者，长期从事意识形态与数字时代资本批判研究，与赖立合作探讨数字消费内蕴矛盾。,DELETE
李孟杰,政治经济学青年学者，与盖凯程合作研究数字资本对实体经济与虚拟经济关系的结构性影响。,DELETE
许成安,与张媛合作研究数字鸿沟的社会后果，主张从人的全面发展视角反思数字资本扩张的伦理边界。,DELETE
王宝珠,数字监控资本主义研究者，与王利云合作揭示技术—制度—控制三位一体的新型劳动控制范式。,DELETE
李石,制度经济学学者，主张推动所有制关系从物质资源独占转向数字资源共享，构建平台化产权新范式。,DELETE
杜巧玲,数字经济治理研究者，倡导财富分配机制从经验化向数字化转型，以大数据模型促进效率与公平统一。,DELETE
徐昕,劳动法学专家，主张通过立法明确数字劳动者权益边界，确立平台责任与隐私保护的法律强制义务。,DELETE
农地特征,指农户所经营农地的质量、区位、连片程度等影响流转决策的地块属性。,KEEP
地区虚拟变量,用于控制区域固定效应的分类变量，如东部地区、中部地区哑变量。,KEEP
所有制,生产资料归谁所有、由谁支配的社会经济制度基础，决定社会性质与分配方式，是马克思主义政治经济学的核心范畴,DELETE
本村位置,村庄距最近县/区政府驻地距离的对数值（公里），反映行政服务可达性与区位优势。,KEEP
上海市外蔬菜主供应基地,A县依托长三角一体化战略打造的区域性农产品保供制度安排，通过政策引导与订单农业推动资本与农户协同履约,KEEP
中农土地集中,L村蔬菜产业发展第二阶段出现的现象，中农群体通过低价流转农户土地开展小规模经营，构成资本下乡前的过渡性经营形态,KEEP
农户专业化生产,农户在分工体系中聚焦田间管理与标准化种植，技能重组升级，形成可验证、可复制的规范性人力资本，提升单位土地产出与收入稳定性。,KEEP
强资本弱小农,资本在合同、市场、技术等维度占据结构性优势，导致小农议价权弱化与利润空间被压缩的不平等格局,KEEP
在地式农业旅游景观,根植于本地资源禀赋、文化传统与生态本底，由资本与农户协同打造的具有生命力与持久性的特色农旅空间形态,KEEP
互惠难题,指资本下乡过程中，企业追求经济理性与村庄诉求道义性互惠之间难以调和的结构性矛盾，导致合作可持续性受损。,KEEP
利润微薄压力,H公司因农业周期长、前期投入大、管理粗放等原因导致盈利空间有限，成为其拒绝承担更多村庄公共责任的核心经济约束,KEEP
局内人与局外人,描述资本主体在乡土社会中的身份认同状态：既非完全外来者，也未获得本地成员资格的社会定位。,KEEP
农民生计能力,Bebbington提出的多维资本（物质、人力、社会、文化、自然）整合能力，决定小农在结构性压力下的可持续生存与发展。,KEEP
悬浮型政权,周飞舟提出的概念，指税费改革后基层政权脱离农民日常生产生活、治理触角弱化、公共性流失的状态。,KEEP
褚瑞云,研究“村企互动”战略推进新农村建设的学者，强调企业社会责任与村庄发展需求的对接。,DELETE
资源性资产,农村集体拥有的自然资源类资产，包括耕地、林地、草地、荒地、滩涂、水面等，具有生态功能与生产潜力双重属性。,KEEP
承包到户农地,实行家庭联产承包责任制后明确归属农户经营的耕地，其权属清晰、产出稳定，较易形成标准化租金定价。,KEEP
合约不完全性,由于信息不对称、未来不确定性及缔约成本限制，合约无法涵盖所有可能状态与行为，需依赖事后协调与再谈判。,KEEP
重庆玖凤旅游开发有限公司,入驻凤凰社区的工商企业，参与茶叶种植、景区开发与设施租赁，与村集体存在固定租约与分成合约双重关系,KEEP
江东银杏村,云南省典型案例村，以40公顷林场集体所有权入股，因古树价值难以估价而采用分成合约。,KEEP
巴泽尔,产权经济学代表学者，在《产权的经济分析》中指出资产转让成本源于属性界定不完善与测度困难。,DELETE
《产权的经济分析》,巴泽尔1989年出版的经典著作，系统阐释产权界定成本、资产属性测度与交易成本之间的内在关系。,KEEP
农林部门,主管农业、林业、农村经济发展及集体产权制度改革的政府组成部门,KEEP
塘约村,贵州省安顺市平坝区典型村，以‘塘约经验’推动新型集体经济组织重构与乡村再组织化,DELETE
m村,湖北省荆门市返乡创业典型村，探索‘众筹创业’与‘村企合一’融合发展路径,DELETE
垄断形成,资本集中与积累导致大企业控制关键资源和市场份额，限制竞争、抬高价格、抑制创新的结构性现象,KEEP
扩大再生产,社会总资本在规模扩大的基础上进行的连续再生产过程，是经济增长的本质表现,KEEP
企业创新主体地位,企业在技术创新决策、研发投入、成果转化和产业化中发挥主导作用的制度性定位,KEEP
创新,驱动高质量发展的第一动力，包括科技创新、制度创新与商业模式创新，是资本正向功能的重要体现。,DELETE
扩大就业,私人资本通过投资实业、发展服务业等方式创造就业岗位，是其支持经济增长与社会稳定的关键功能。,KEEP
增加税收,私人资本经营活动中依法纳税，构成财政收入重要来源，支撑公共服务与再分配能力建设。,KEEP
双减政策,《关于进一步减轻义务教育阶段学生作业负担和校外培训负担的意见》所确立的教育治理政策，核心是限制资本介入学科类培训并规范行业运营。,KEEP
京东reit获批,2022年12月26日嘉实京东仓储物流封闭式基础设施证券投资基金获批，成为平台经济‘绿灯投资’标志性案例。,KEEP
教育部,主管全国教育事业的国务院组成部门，牵头推进‘双减’政策落地与校外培训监管体系建设。,DELETE
bhaduri & marglin (1990),开创性论文《失业与实际工资》，构建工资主导型与利润主导型经济的宏观动态模型,KEEP
经济波动与危机,资本逐利性引发的过度投资、资产泡沫或金融空转，可能导致宏观失衡与系统性风险。,KEEP
多边投资协定,多个国家共同签署的、旨在保护投资者权益、规范投资准入与争端解决机制的国际法律协议,KEEP
王宠霖,与何佳合作研究资本无序扩张问题的学者，共同揭示其对金融稳定与分配秩序的破坏机制,DELETE
农药标签合规使用,严格按照农药标签标注的使用范围、方法、剂量及注意事项施用，禁止扩大范围、加大剂量或改变方法,KEEP
个人防护装备使用,配药与施药过程中佩戴眼镜、防护靴、口罩等装备的行为，是规范用药行为的关键防护环节,KEEP
施药过程环境保护,禁止在饮用水水源保护区、河道丢弃农药及包装物，禁止清洗器械污染水体，体现生态友好型用药理念,KEEP
农业化学品减量,通过规范使用行为而非单纯压缩用量，实现农药对健康、环境与农产品安全负面影响的整体降低,KEEP
有效样本量,经剔除无效问卷后最终纳入分析的农户有效问卷数量为1649份,KEEP
pseudo r²,用于评估Logit/Probit等非线性模型拟合优度的伪决定系数，反映解释变量对被解释变量变异的解释比例,KEEP
塔尔科特·帕森斯,美国社会学家，结构功能主义代表人物，提出AGIL模型解释社会系统的稳定性与功能性运作。,KEEP
农户合作偏好,农户在资本下乡情境中对供给主体、合作模式、利益联结机制和服务保障等维度的差异化选择倾向，反映其理性决策与主体性诉求。,KEEP
农户偏好异质性,指不同农户在资本下乡合作中因个体特征、家庭结构、风险态度等差异而表现出的系统性选择偏好分化。,KEEP
交互项,将农户特征变量（如X_i'）与选择属性变量（如Z_ij'）相乘引入模型，用以识别异质性来源及调节效应方向。,DELETE
能人返乡,具有本地户籍或社会关系网络的外出务工经商人员回乡投资创业，兼具乡土信任与市场能力的资本供给主体类型。,KEEP
外来企业,注册地不在本村或本县、以盈利为目标进入农村开展农业经营或服务的工商资本主体，常面临嵌入性不足问题。,KEEP
公司+村集体+农户,以村集体为组织中介和利益协调平台的三方合作模式，强调集体资产整合与农户权益保障。,KEEP
随行就市,基于市场价格波动自由交易农产品的合作机制，体现松散型市场关系，农户自主性强但抗风险能力弱。,KEEP
能人返乡,本村籍企业家或技术人才回乡创业并带动农户参与资本下乡的合作模式，具有信任基础、声誉约束与乡土情怀三重优势。,KEEP
黄岗岭村,溧阳市上黄镇下属自然村，典型案例地，返乡能人K总创办XL生态农业公司，实现茶果生态园区与村庄共建。,KEEP
公司+村集体+农户,以村集体为中介整合资源、协调利益、降低交易成本的合作模式，农户效用显著高于基准模式‘公司+农户’。,KEEP
竹箦镇j村,溧阳市竹箦镇行政村，由村集体牵头整合土地资源引入社会资本发展文旅产业，2023年集体经济销售额超千万元。,KEEP
替代常数项（asc）,混合Logit模型中代表不与工商资本合作这一选项的基础效用，其正值且显著表明农户整体存在合作倾向。,KEEP
泰国甜椒生产,泰国农业中以订单农业和供应链差异化为特征的特色蔬菜产业化实践案例,KEEP
孟岑,学术期刊责任编辑，负责农业经济类论文的编辑审校与出版协调工作,DELETE
价值取向对抗性,工商资本逐利逻辑与集体经济公益目标之间的根本张力，构成价值共创过程中持续存在的深层矛盾根源。,KEEP
石头房子,T村利用废弃村小改建的公私合营文旅项目，由入驻团队运营，集体经济组织按营业额分成,KEEP
石政,文中引用的T村村民代表，反映基础设施改善后‘不出去就能挣到钱’的获得感,DELETE
eisenhardt等（2007）,提出典型性与理论抽样原则的经典方法论文献，为本文案例选择提供方法论依据,KEEP
村庄社群内在认同,工商资本被村民接纳为‘新村民’的心理与文化基础，是其可持续参与共建共治共享的前提条件。,KEEP
科学治理农村生活污水,依据地形地貌、人口集聚度与水环境承载力，采用分散式生态处理（如净化槽、人工湿地）或集中式设施处理的技术路径。,KEEP
现代化经济体系,由创新引领、协同发展、统一开放、竞争有序的产业、市场、收入分配、城乡区域、绿色发展、全面开放六大体系构成。,KEEP
家庭成员平均年龄,农户家庭全体成员年龄的算术平均值（岁），反映人口结构老龄化或代际梯度特征。,KEEP
泰国,东南亚农业出口国，其甜椒产业为分析供应链分化与农户市场选择提供经验基础,DELETE
文军和刘雨航,研究数字技术赋能乡村治理与产业转型的学者，2022年提出‘互联网+田头市场+城市终端配送’云销售模式概念。,KEEP
王星和周重礼,研究农户技能升级与收入稳定性提升路径的学者，2023年指出技术指导与规范生产对农户标准化能力建构的关键作用。,KEEP
吴重庆和张慧鹏,批判资本单边垄断型分工的学者，2019年警示简单外包服务可能导致小农户被剥削的风险。,KEEP
苟兴朝和杨继瑞,研究农地产权实现机制的学者，指出农户需保障农地经营权的在位控制权与增值收益索取权，本文用以阐释分工中农户主体性。,KEEP
戴天放,农业新业态定义者，提出农业新业态须满足新产品/服务供给、跨界融合、持续成长与规模经营四维标准。,DELETE
标准化偏误,倾向得分匹配前后各协变量在处理组与控制组间均值差异除以其合并标准差所得的度量，用于平衡性检验,KEEP
区域虚拟变量,用于控制地理空间不可观测异质性的计量工具变量，如东/中/西部、省域或县域哑变量,KEEP
产权明晰,农村集体产权制度改革的核心目标，指集体资产所有权、成员资格权、经营权等权属边界清晰、可确权登记,KEEP
聚牛兴公司,与乌牛村合作的工商企业，参与水果分拣中心设备厂房的分成合约经营,KEEP
江晓玲,本文作者之一，参与对H公司与Z村互动案例的实证调查与机制分析。,DELETE
农地经营规模,以耕地面积与从业人数比值或实际经营面积衡量的农业生产单元规模，是规模经济实现的基础条件,KEEP
农业专利申请总量,衡量农业科技创新活跃度的量化指标，反映绿色技术供给潜力,KEEP
农户信贷可得性,农户获得正规金融机构贷款的难易程度与可及水平，受信用记录、抵押物与担保机制影响,KEEP
打药互助组合,北区王福生、王福春、王福章三人形成的非正式协作单元，体现高关系聚合度下的精细化分工合作,KEEP
付方盛,兴民农场新任承包人，接手张佳吉原承包的20号地块，系农场主王辰林远方姑姑的妹夫，代表外部嵌入的积极力量。,DELETE
返乡劳动力,曾在城市务工后返回户籍所在村庄就业或创业的农村劳动力，兼具城市经验与本地认同双重特征。,KEEP
留守劳动力,因家庭照护、土地经营等原因未外出务工，长期在本村从事农业或非农活动的农村劳动力。,KEEP
工作保障,涵盖社会保险参保、工伤防护、劳动监察覆盖、集体协商机制等制度性权益保障水平。,KEEP
户主性别,农户家庭主要决策者性别属性，本研究中未发现其与土地流转意愿存在统计显著相关性。,KEEP
家庭流转农地面积,农户家庭历史上已发生流转行为所涉及的土地面积，反映其农地市场参与经验和路径依赖倾向。,KEEP
女性劳动力,农村从事农业生产的女性劳动者，其比例上升反映农业劳动力性别结构变化与留守现象,KEEP
倒u型关系,指两个变量间先正向增长后趋于下降的非线性关系；文中指土地规模与土地产出率的关系形态。,KEEP
正u型关系,变量间先负向后正向的变化关系，如户主年龄与农地转出呈正U型，拐点为43岁,KEEP
刘铮、赵志浩（2016）,对工商资本租赁农地现象进行冷思考的批判性研究，刊发于《黑龙江社会科学》。,KEEP
新兴农民,指在市场化进程中通过土地集中、资本投入和技术应用成长为具备规模经营能力的新型农业经营主体，常见于非洲及转型经济体。,KEEP
黄红常,农业经济实证研究学者，专注于农村金融、土地制度与农户微观行为的计量分析。,DELETE
徐志翔,农村发展研究者，聚焦土地流转对资源配置效率与农民福利的影响机制。,DELETE
戚颖,农业政策与农村金融方向青年学者，参与多项江苏省农村改革跟踪调研项目。,DELETE
nicholas j. sitko,赞比亚籍农业经济学家，研究重心为非洲土地市场化、新兴农场主崛起与结构性不平等。,KEEP
thomas s. jayne,美国密歇根州立大学发展经济学教授，非洲农业转型与粮食政策领域国际权威学者。,KEEP
高海,中国农村法治与比较农业制度研究者，重点关注美日欧家庭农场制度及其对中国启示。,DELETE
何传启,中国现代化研究学者，提出第二次现代化理论,DELETE
赵蓓文,世界经济研究学者，聚焦转型国家FDI宏观效应比较分析,DELETE
李治国、唐国兴,中国经济学者，构建中国转型期资本形成与存量调整模型,KEEP
蔡明荣、任世驰,企业金融化研究综述者，梳理企业金融化动因与后果,KEEP
苏治、方彤、尹力博,宏观经济计量学者，实证检验中国虚拟经济与实体经济关联性,KEEP
王海霞,劳动关系研究者，探讨社会主义条件下和谐劳资关系构建路径,DELETE
唐跃军、左晶晶,公司治理研究者，提出基于动态股权治理平台的创业企业治理模式,KEEP
个人间流转,农户之间自发进行的小规模、短期、非正式的土地经营权转移行为。,KEEP
王绍琛,社会学研究者，本文合作者，聚焦城乡关系与资本下乡的社会学机制分析。,DELETE
普含怡,白志斌妻子，家庭主要劳动力之一，参与田间管理与零工劳动，在女工主导的果园用工体系中具代表性。,DELETE
王欧,研究农民工代际差异与文化认同的学者，关注第二代农民工在城乡夹缝中的身份张力与情感归属问题。,DELETE
粟后发,聚焦乡村人口流动与家庭伦理变迁的青年学者，探讨城镇化进程中代际支持模式与村庄存续逻辑。,DELETE
农村地区引进工业促进法,日本1971年施行的法律，旨在通过财政支持吸引劳动密集型社会资本进入乡村非农产业,KEEP
《农村地区工业等导入促进法》,日本引导工业资本进入农村地区、活化乡村经济的早期法律，后被升级为《农村产业法》等系列法规。,KEEP
《休闲度假村法》,日本支持社会资本投资乡村旅游与康养设施的专项法律，明确设施建设条件与空间准入规则。,KEEP
《六次产业法》,日本推动农业与加工、流通、服务深度融合（1×2×3=6）的法律框架，鼓励社会资本参与农产品附加值提升和本地化产业链建设。,KEEP
《河川法》,日本规范水资源利用与水系保护的法律，在农业投资审查中用于评估作物变更对共享水利系统的外部性影响。,KEEP
《农药取缔法》,日本规制农药登记、销售与使用的法律，构成农业面源污染防控的重要制度工具。,KEEP
《禽畜分辨处理法》,日本规范畜禽粪便收集、贮存、利用与处置的专门法律，防范养殖类社会资本引发的土壤与水体污染风险。,KEEP
恢复性司法,要求违法者采取实质性措施修复受损生态、农地或社会关系的司法理念与责任追究方式,KEEP
分类分级管制,依据区位、禀赋与功能定位，对农地实行差异化用途管控与弹性准入的精细化治理制度,KEEP
农产品深加工基地,G公司投资建设的产业配套项目，延长葡萄产业链，提升本地农产品附加值与就业承载能力。,KEEP
净利润增长率,（当期净利润−上期净利润）/上期净利润，衡量企业盈利增长能力,KEEP
董监高持股比例,董事、监事及高级管理人员持股股数占发行总股数的比例，体现内部激励机制,KEEP
董事长与总经理是否兼任,一人同时担任董事长和总经理的二元变量，反映公司治理结构特征,KEEP
股权质押比例,股权质押股数占发行总股数的比例，表征控股股东流动性压力与风险,KEEP
换手率,股票成交量与发行总股数之比，反映市场交易活跃度与流动性,DELETE
现金资产比率,现金类资产与流动资产之比，衡量企业短期偿债能力与财务稳健性,KEEP
稳健性检验,通过更换样本区间、变量定义或计量模型等方式验证核心结论是否稳定的实证程序,KEEP
jel分类号,美国经济学会制定的经济学文献主题分类编码体系，用于学术论文标准化标引,KEEP
农户间流转,农村内部农户之间基于熟人社会关系进行的土地承包经营权互换、转包等自发性流转行为,KEEP
陈文晖,华南农业大学学者，本文作者之一，聚焦农业经营组织与农户行为研究,DELETE
互赢共存,资本农业与农户经营在二元并存中形成协作关系，实现利益共享与功能互补的发展状态,KEEP
小农经营格局,人均一亩三分、户均不过十亩的传统分散经营状态，构成农业转型需突破的初始条件,KEEP
乡村主理人,深度参与单个乡村空间或业态运营的在地化实践者，常兼具内容策划、品牌传播与社区动员能力,KEEP
付伟,中国社会学学者，聚焦农业转型的社会基础研究，提出‘农业技术—社会基础—组织形态’分析框架,DELETE
