identity,fam_type,hh_size,gender,birth_ym,edu,politics,village_duty,hukou,employment,nonfarm_type,nonfarm_income,cult_area,own_area,transfer_in_area,transfer_out_area,reclaim_area,basic_farm_area,paddy_area,plain_area,terrace_area,irrigable_area,dryland_area,n_parcels,land_alloc_year,n_member_land,adj_willing,adj_direction,adj_why_open,adj_unwill_open,out_area,out_year,out_reason,out_to_whom,out_irrigable,out_slope,out_info_ch,out_contract,out_contract_party,out_rent_term_set,out_rent_term,out_rent_type,out_cash_rent,out_rent_schedule,out_rent_pay,out_kind_type,out_kind_qty,in_area,in_year,in_reason,in_reason_r1,in_reason_r2,in_reason_r3,in_reason_r4,in_reason_r5,in_gross_income,in_contiguous,in_irrigable,in_slope,in_info_ch,in_info_ch_r1,in_info_ch_r2,in_info_ch_r3,in_info_ch_r4,in_info_ch_r5,in_info_ch_r6,in_info_ch_r7,in_info_ch_r8,in_contract,in_contract_party,in_contract_party_r1,in_contract_party_r2,in_contract_party_r3,in_contract_party_r4,in_rent_term_set,in_rent_term,in_rent_type,in_cash_rent,in_rent_schedule,in_rent_pay,in_kind_type,in_kind_qty,in_crop_type,crops_all,crops_grain,crops_self,sown_area,soil_type,land_grade,land_grade_r1,land_grade_r2,land_grade_r3,land_grade_r4,till_method,till_method_r1,till_method_r2,till_method_r3,till_method_r4,till_method_r5,till_method_r6,mech_service,mech_service_r1,mech_service_r2,mech_service_r3,mech_service_r4,mech_service_r5,mech_service_r6,mech_service_r7,mech_service_cost,hire_cost,hire_source,hire_pay_type,avg_yield,total_yield,tech_need,tech_need_type,tech_train,tech_train_source,tech_train_source_r1,tech_train_source_r2,tech_train_source_r3,tech_train_source_r4,tech_train_source_r5,disaster_5y,disaster_type,disaster_type_r1,disaster_type_r2,disaster_type_r3,disaster_type_r4,disaster_type_r5,disaster_type_r6,disaster_loss_pct,disaster_affect,disaster_effect,disaster_effect_r1,disaster_effect_r2,disaster_effect_r3,disaster_effect_r4,gov_help,gov_help_type,ins_buy,ins_way,ins_amount_per_mu,ins_subsidy,ins_subsidy_amt,ins_subsidy_sat,ins_claim_sat,ins_claim_un_sat,ins_no_reason,ins_future,water_sat,water_problem,irrig_eq_use,irrig_eq_type,irrig_eq_get,irrig_eq_get_r1,irrig_eq_get_r2,irrig_eq_get_r3,irrig_eq_get_r4,irrig_eq_get_r5,irrig_conv,irrig_boost,mech_eq_use,mech_eq_get,mech_eq_get_r1,mech_eq_get_r2,mech_eq_get_r3,mech_eq_get_r4,mech_eq_get_r5,mech_conv,mech_conv_r1,mech_conv_r2,mech_conv_r3,mech_conv_r4,mech_conv_r5,mech_conv_r6,mech_boost,road_problem,road_problem_r1,road_problem_r2,road_problem_r3,road_problem_r4,road_problem_r5,process_do,process_purpose,process_cost,process_place,process_subsidy,process_subsidy_amt,process_sat,process_un_sat,process_price_pre,process_price_post,process_price_sat,brand_exist,brand_how,brand_benefit,brand_benefit_r1,brand_benefit_r2,brand_benefit_r3,brand_benefit_r4,brand_benefit_r5,brand_std_will,brand_std_unwill,brand_boost,sales_channel,ecom_aware,ecom_sell,ecom_benefit,ecom_problem,input_buy,input_buy_r1,input_buy_r2,input_buy_r3,input_buy_r4,input_buy_r5,input_buy_r6,input_cost,input_cost_share,input_heavy,input_heavy_share,input_burden,input_channel,input_channel_why,input_conv,subsidy_get,subsidy_type,subsidy_per_mu,subsidy_total,subsidy_sat,subsidy_problem,subsidy_boost,subsidy_info_ch,subsidy_reduce_abandon,subsidy_no_reason,farm_reason,farm_reason_r1,farm_reason_r2,farm_reason_r3,farm_reason_r4,farm_reason_r5,farm_reason_r6,farm_reason_r7,own_abandon,own_abandon_reason,own_abandon_reason_r1,own_abandon_reason_r2,own_abandon_reason_r3,own_abandon_reason_r4,own_abandon_reason_r5,own_abandon_reason_r6,village_abandon,village_abandon_reason,village_abandon_reason_r1,village_abandon_reason_r2,village_abandon_reason_r3,village_abandon_reason_r4,village_abandon_reason_r5,village_abandon_reason_r6,village_abandon_reason_r7,village_abandon_reason_r8,continue_will,continue_will_why,prospect_view,prospect_why,village_motive_change,motive_change_why,abandon_right_will,abandon_right_why
2,5,3,1,196707,3,1,3,1,3,2,42430,5.9,15.1,0,9.2,0,40.9,49.3,11.1,41.0,16.4,42.8,8,18.7,49.3,4,-99,担心政策变化,"外出务工, 家中老人耕种",9.6,7.7,5,4,2,3,5,1,2,1,1.6,2,19.7,2,4,"外出务工, 家中老人耕种",10.6,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,流转给合作社统一经营,种粮补贴较稳定,担心政策变化,39.5,5,,0,1,1,1,,1,0,0,0,1,1,,0,0,0,1,0,0,0,-99,37.4,4,4,40.0,37.4,1,5,2,-99,,,,,,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,1,4,32.9,3,11.7,4,1,4,-99,-99,1,4,2,2,,0,0,0,1,0,2,3,2,,1,0,0,1,1,,1,1,0,0,0,0,3,,0,1,0,0,0,2,1,49.3,3,1,10.4,3,1,8.9,50.0,5,2,-99,-99,,,,,,1,4,3,3,2,2,4,5,,1,1,1,0,0,0,1.9,14.1,3,7.8,1,6,4,3,1,8,24.7,48.6,1,1,3,3,3,-99,,1,0,0,1,0,0,0,2,-99,,,,,,,2,-99,,,,,,,,,5,"外出务工, 家中老人耕种",1,"自家食用为主, 剩余出售",4,种粮补贴较稳定,3,担心政策变化
1,5,5,1,196703,3,1,1,1,1,2,4914,8.6,4.1,4.5,0,0,2.0,4.6,25.0,46.3,4.1,37.7,7,3.0,17.3,4,-99,种粮补贴较稳定,担心政策变化,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,10.5,40.8,,0,0,0,1,1,35.6,2,1,2,,0,0,0,1,0,0,0,0,2,,1,0,0,0,1,34.4,6,27.8,2,4,"外出务工, 家中老人耕种",22.0,3,种粮补贴较稳定,种粮补贴较稳定,担心政策变化,46.7,5,,0,1,0,0,,0,0,0,1,0,1,,0,1,0,1,0,0,0,8.2,8.0,6,2,28.2,42.5,2,-99,2,-99,,,,,,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,1,3,36.9,2,38.8,4,2,2,-99,-99,5,2,1,1,,1,0,1,0,1,1,5,1,,1,0,0,0,0,,0,1,1,0,0,0,2,,1,0,0,1,0,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,,,,,,2,1,1,6,2,1,5,3,,1,0,0,0,0,0,17.8,10.4,3,37.8,3,2,5,2,1,7,32.4,39.0,3,1,2,6,3,-99,,1,0,0,1,0,0,0,2,-99,,,,,,,2,-99,,,,,,,,,1,"外出务工, 家中老人耕种",4,"外出务工, 家中老人耕种",3,流转给合作社统一经营,3,流转给合作社统一经营
1,1,4,2,197502,3,3,1,3,5,1,5181,0.1,0.1,0,0,0,28.3,38.3,36.0,39.4,23.1,7.3,5,5.2,45.1,5,-99,流转给合作社统一经营,种粮补贴较稳定,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,流转给合作社统一经营,流转给合作社统一经营,"外出务工, 家中老人耕种",18.5,2,,1,0,0,0,,0,0,1,1,0,0,,0,0,0,0,1,0,1,-99,15.0,1,2,41.0,21.5,1,1,1,,0,1,0,0,0,1,,0,0,0,0,0,1,10.2,1,,0,0,1,0,1,2,2,-99,-99,-99,-99,-99,-99,-99,3,种粮补贴较稳定,3,1,2,4,,1,0,0,0,1,4,6,2,,1,0,0,0,0,,1,0,1,0,1,0,5,,0,1,1,1,0,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,,,,,,1,4,4,5,2,2,1,3,,1,0,0,1,1,0,9.5,20.5,4,11.1,2,6,6,3,2,-99,-99,-99,-99,-99,-99,-99,-99,2,,1,0,0,0,0,1,0,2,-99,,,,,,,1,,0,1,0,0,1,0,1,0,4,种粮补贴较稳定,3,种粮补贴较稳定,4,担心政策变化,4,"自家食用为主, 剩余出售"
1,4,6,1,197302,4,1,1,1,3,2,42552,8.9,8.9,0,0,0,44.0,13.9,5.0,12.5,18.8,27.5,3,35.7,16.0,5,-99,担心政策变化,种粮补贴较稳定,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,流转给合作社统一经营,流转给合作社统一经营,担心政策变化,24.6,5,,0,0,0,1,,0,0,1,0,1,1,,1,0,0,0,0,1,0,-99,23.9,2,4,38.7,40.2,1,7,1,,1,0,0,1,0,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,5,"外出务工, 家中老人耕种",6,4,1,3,,0,0,0,1,0,2,3,1,,0,1,1,1,0,,1,0,1,0,0,0,1,,1,0,0,0,1,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,,1,1,1,0,0,1,-99,-99,5,3,2,5,1,,1,0,0,0,0,0,13.2,1.7,5,15.7,1,6,4,4,2,-99,-99,-99,-99,-99,-99,-99,-99,1,,0,0,0,0,0,0,1,2,-99,,,,,,,2,-99,,,,,,,,,4,担心政策变化,5,担心政策变化,5,"自家食用为主, 剩余出售",1,种粮补贴较稳定
3,5,2,1,197511,3,2,1,2,2,2,17766,9.9,9.9,0,0,0,48.0,27.2,39.3,5.4,43.8,23.1,5,17.3,8.0,4,-99,担心政策变化,"自家食用为主, 剩余出售",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,"自家食用为主, 剩余出售",担心政策变化,"外出务工, 家中老人耕种",26.1,5,,0,0,0,1,,0,1,0,0,0,0,,0,0,0,0,0,1,1,-99,35.2,2,2,6.6,7.0,1,4,2,-99,,,,,,1,,0,1,0,0,0,0,30.1,2,,0,0,1,0,1,1,2,-99,-99,-99,-99,-99,-99,-99,1,流转给合作社统一经营,3,2,2,4,,0,0,1,1,0,2,5,2,,0,0,1,0,0,,1,0,0,0,1,0,1,,0,0,0,1,0,2,2,7.3,1,2,24.2,1,6,36.6,9.5,3,3,-99,-99,,,,,,1,3,4,7,2,1,1,2,,0,1,0,0,0,0,22.7,47.7,4,3.7,2,7,4,3,2,-99,-99,-99,-99,-99,-99,-99,-99,2,,1,0,0,0,0,1,1,1,,1,1,0,0,0,0,2,-99,,,,,,,,,5,"外出务工, 家中老人耕种",5,种粮补贴较稳定,4,担心政策变化,4,担心政策变化
1,6,6,1,195404,1,1,1,1,3,3,48450,29.7,11.2,18.5,0,0,31.2,49.3,27.7,26.5,8.5,12.4,5,42.0,28.8,5,-99,"外出务工, 家中老人耕种","自家食用为主, 剩余出售",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,43.3,49.6,,1,1,0,0,1,17.0,1,1,1,,0,0,1,0,0,1,0,1,2,,1,0,0,0,2,48.0,5,48.9,1,2,"外出务工, 家中老人耕种",10.0,3,"外出务工, 家中老人耕种","自家食用为主, 剩余出售",种粮补贴较稳定,19.1,5,,0,1,0,0,,1,1,0,1,0,0,,0,0,0,1,0,0,0,12.6,10.9,5,4,13.9,20.7,2,-99,1,,1,0,0,1,0,1,,1,0,0,0,0,0,40.4,1,,0,1,0,0,1,2,2,-99,-99,-99,-99,-99,-99,-99,2,"外出务工, 家中老人耕种",3,4,2,1,,0,1,1,1,0,3,4,1,,0,0,0,1,0,,0,1,1,1,0,0,5,,1,0,1,0,0,1,3,49.4,4,2,-99,2,6,27.6,18.3,4,3,-99,-99,,,,,,2,4,1,7,2,2,1,4,,1,0,0,1,0,0,38.7,4.7,4,2.8,2,6,7,2,1,3,1.4,39.8,4,1,2,5,3,-99,,0,1,0,1,0,0,1,1,,1,1,0,0,1,0,2,-99,,,,,,,,,1,流转给合作社统一经营,3,"自家食用为主, 剩余出售",1,"外出务工, 家中老人耕种",4,"外出务工, 家中老人耕种"
2,3,4,2,197512,2,2,1,2,1,3,2768,1.8,1.8,0,0,0,7.8,44.6,29.3,49.0,1.8,7.7,8,41.8,43.2,4,-99,"自家食用为主, 剩余出售",担心政策变化,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,种粮补贴较稳定,"自家食用为主, 剩余出售","外出务工, 家中老人耕种",18.6,1,,1,0,0,1,,0,1,1,0,0,0,,0,0,0,0,0,0,1,6.6,44.2,4,3,35.3,48.2,2,-99,1,,1,0,0,1,0,1,,0,0,1,1,0,0,5.6,1,,1,1,1,0,2,1,1,1,40.1,3,13.6,4,2,4,-99,-99,2,2,2,1,,1,1,0,1,0,2,5,2,,0,1,0,0,1,,1,1,0,0,1,0,5,,0,1,1,0,0,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,,,,,,2,4,1,1,2,2,6,6,,0,0,0,1,0,0,22.1,15.7,4,6.7,5,6,2,3,1,3,27.3,10.5,3,4,2,4,3,-99,,0,1,1,1,0,0,0,1,,0,0,1,0,0,0,2,-99,,,,,,,,,2,流转给合作社统一经营,1,流转给合作社统一经营,2,"自家食用为主, 剩余出售",5,担心政策变化
3,5,6,1,198406,6,1,1,1,1,3,7337,1.6,0,0,0,1.6,26.9,45.2,23.4,29.5,30.4,11.4,2,17.8,34.0,3,-99,"外出务工, 家中老人耕种",种粮补贴较稳定,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,"外出务工, 家中老人耕种",担心政策变化,"自家食用为主, 剩余出售",45.5,5,,0,0,1,0,,0,1,1,0,0,1,,1,0,0,0,0,1,0,23.9,42.8,2,1,24.3,8.9,1,4,2,-99,,,,,,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,1,4,2.8,1,36.7,2,2,2,-99,-99,6,1,2,3,,0,0,1,0,1,3,4,1,,0,1,0,0,0,,0,1,1,0,0,1,3,,0,0,0,1,0,1,2,8.5,1,1,-99,1,4,32.3,33.8,1,3,-99,-99,,,,,,2,2,2,5,2,1,3,5,,0,0,0,1,1,1,1.9,40.1,2,2.7,1,4,7,5,2,-99,-99,-99,-99,-99,-99,-99,-99,1,,1,0,0,0,0,0,0,2,-99,,,,,,,1,,0,0,0,0,0,0,0,1,4,"外出务工, 家中老人耕种",4,"外出务工, 家中老人耕种",3,"外出务工, 家中老人耕种",3,种粮补贴较稳定
1,6,4,1,196803,3,1,4,3,7,2,8545,9.2,9.2,0,0,0,9.6,18.3,10.0,2.2,37.3,30.2,3,14.0,20.4,99,-99,"自家食用为主, 剩余出售","外出务工, 家中老人耕种",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,担心政策变化,种粮补贴较稳定,流转给合作社统一经营,13.1,2,,0,1,0,1,,0,0,1,0,1,1,,1,0,0,1,1,0,0,-99,46.8,2,1,29.9,18.2,1,2,2,-99,,,,,,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,1,1,22.4,3,21.9,5,3,1,-99,-99,1,2,1,3,,0,0,0,1,1,4,3,1,,0,0,1,0,1,,0,0,1,1,0,0,4,,0,0,1,1,0,2,2,17.6,4,1,-99,4,6,31.5,25.6,4,1,3,,1,0,0,0,1,1,-99,-99,4,1,2,2,3,,1,0,1,0,0,0,36.5,10.4,3,6.9,2,5,5,3,1,7,41.2,23.2,3,3,3,4,1,-99,,0,1,0,0,0,0,1,1,,0,0,1,0,0,0,1,,0,0,0,1,0,1,1,0,5,"外出务工, 家中老人耕种",5,担心政策变化,2,流转给合作社统一经营,5,流转给合作社统一经营
1,4,5,2,199105,6,1,1,1,1,2,10380,29.4,13.6,15.8,0,0,4.3,40.5,26.8,15.5,24.3,33.7,3,12.8,8.9,4,-99,流转给合作社统一经营,"自家食用为主, 剩余出售",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,33.3,18.5,,1,0,0,0,0,14.5,1,1,3,,0,0,0,1,0,0,0,0,1,,1,1,0,1,2,39.5,6,17.4,1,4,"自家食用为主, 剩余出售",32.8,1,流转给合作社统一经营,"外出务工, 家中老人耕种",担心政策变化,20.2,2,,0,0,1,1,,0,0,1,0,0,1,,0,0,1,0,0,0,0,-99,35.5,3,2,25.7,16.6,1,2,2,-99,,,,,,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,3,"外出务工, 家中老人耕种",1,3,1,3,,0,1,0,0,0,4,6,1,,1,0,1,0,0,,0,0,0,0,1,0,1,,0,1,1,1,0,2,3,26.5,4,2,-99,2,2,2.5,41.2,2,2,-99,-99,,,,,,2,4,5,6,1,2,3,1,,0,1,0,0,0,0,27.8,47.2,2,23.4,2,5,1,5,1,3,13.3,31.5,2,2,3,6,3,-99,,1,1,1,0,0,0,0,2,-99,,,,,,,2,-99,,,,,,,,,3,"自家食用为主, 剩余出售",2,"外出务工, 家中老人耕种",4,担心政策变化,2,流转给合作社统一经营
1,6,4,1,195110,1,1,1,1,1,2,1477,4.4,4.4,0,0,0,34.8,36.3,42.3,11.5,28.8,5.6,2,12.5,21.8,5,-99,"自家食用为主, 剩余出售",担心政策变化,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,种粮补贴较稳定,"自家食用为主, 剩余出售","自家食用为主, 剩余出售",44.7,5,,0,1,1,1,,1,0,0,0,0,1,,0,0,0,0,0,0,1,-99,21.5,1,2,33.2,37.1,2,-99,2,-99,,,,,,1,,0,0,1,0,0,1,7.1,1,,0,1,1,0,1,2,1,4,48.1,2,22.5,5,2,4,-99,-99,6,3,2,4,,0,1,0,1,0,4,3,1,,0,0,0,0,1,,0,1,0,0,1,0,1,,0,0,0,1,0,1,2,40.0,2,1,-99,4,3,49.0,1.5,2,2,-99,-99,,,,,,1,4,1,4,1,2,5,3,,0,1,0,1,1,0,31.8,19.0,1,22.8,3,2,4,1,1,5,36.8,1.3,2,3,1,3,3,-99,,1,0,0,0,0,0,0,2,-99,,,,,,,1,,0,0,0,0,1,0,0,1,3,种粮补贴较稳定,5,流转给合作社统一经营,2,"自家食用为主, 剩余出售",4,流转给合作社统一经营
1,5,2,1,197603,5,1,1,1,2,2,22225,0.5,0.5,0,0,0,30.5,6.5,45.3,44.2,44.1,15.4,7,42.9,48.2,5,-99,"自家食用为主, 剩余出售","外出务工, 家中老人耕种",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,流转给合作社统一经营,种粮补贴较稳定,种粮补贴较稳定,7.6,5,,0,0,1,0,,1,0,0,0,1,0,,0,0,0,0,0,1,0,-99,12.7,3,3,19.1,14.6,2,-99,1,,0,0,0,1,0,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,3,担心政策变化,1,1,1,4,,1,0,0,0,1,3,6,2,,0,0,0,0,1,,1,0,0,1,1,0,3,,0,0,1,0,0,1,3,16.6,3,1,-99,5,3,31.2,14.4,2,1,6,,0,0,0,0,1,1,-99,-99,4,3,2,1,4,,1,0,0,0,0,0,15.9,48.5,2,43.7,3,3,4,1,3,-99,-99,-99,-99,-99,-99,-99,-99,3,,1,1,0,0,0,0,0,1,,1,0,0,1,0,0,2,-99,,,,,,,,,2,"外出务工, 家中老人耕种",3,"外出务工, 家中老人耕种",2,流转给合作社统一经营,2,种粮补贴较稳定
6,6,3,1,198506,3,1,1,1,2,3,27342,0.5,0.5,0,0,0,8.9,45.4,19.6,45.6,19.0,2.4,6,14.3,20.0,3,-99,担心政策变化,"自家食用为主, 剩余出售",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,"外出务工, 家中老人耕种",流转给合作社统一经营,担心政策变化,48.2,5,,1,1,0,1,,0,1,1,0,1,0,,0,1,0,0,0,1,0,-99,47.9,6,2,24.7,4.4,1,1,2,-99,,,,,,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,2,担心政策变化,1,4,1,4,,0,1,0,0,1,2,5,2,,0,1,1,1,0,,0,0,1,1,0,1,1,,0,1,1,0,0,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,,,,,,2,2,4,4,1,2,6,6,,1,0,1,0,0,1,26.4,28.8,5,13.3,4,7,6,4,3,-99,-99,-99,-99,-99,-99,-99,-99,1,,0,1,1,0,0,0,0,2,-99,,,,,,,1,,0,1,0,0,0,0,1,0,3,种粮补贴较稳定,2,种粮补贴较稳定,4,流转给合作社统一经营,2,流转给合作社统一经营
6,5,6,2,196402,2,1,1,1,1,1,8076,7.8,7.8,0,0,0,40.0,35.4,5.4,18.6,28.2,15.8,4,41.1,47.7,4,-99,种粮补贴较稳定,"外出务工, 家中老人耕种",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,"自家食用为主, 剩余出售","自家食用为主, 剩余出售",种粮补贴较稳定,47.8,4,,1,0,0,0,,0,0,0,0,0,1,,1,0,0,1,0,0,0,-99,34.0,3,1,43.5,28.8,2,-99,1,,1,0,0,0,0,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,1,流转给合作社统一经营,5,4,1,1,,0,1,0,0,0,1,2,2,,1,0,0,0,0,,1,0,1,0,1,0,1,,1,1,0,0,1,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,,,,,,2,2,5,7,2,2,1,5,,0,0,0,0,0,1,7.7,29.3,2,49.3,3,7,5,3,1,3,31.1,17.4,5,4,1,4,1,-99,,0,1,1,0,0,0,0,2,-99,,,,,,,1,,0,1,0,0,1,0,0,1,2,"外出务工, 家中老人耕种",5,"外出务工, 家中老人耕种",3,担心政策变化,1,种粮补贴较稳定
1,4,2,1,197012,4,-88,1,1,1,1,5608,9.0,11.4,6.6,9.0,0,12.8,45.4,35.5,20.1,48.0,43.5,8,13.6,8.3,5,-99,种粮补贴较稳定,种粮补贴较稳定,26.6,10.3,2,2,2,2,6,2,4,1,4.1,2,32.6,2,4,"外出务工, 家中老人耕种",5.8,1.8,1.9,,1,1,0,0,1,11.9,2,1,1,,0,0,0,0,1,1,0,0,1,,1,0,1,1,2,7.8,1,35.9,1,3,流转给合作社统一经营,36.2,2,流转给合作社统一经营,流转给合作社统一经营,流转给合作社统一经营,9.0,4,,1,0,0,0,,1,0,0,1,0,1,,0,1,0,1,0,0,0,26.5,30.1,2,3,38.5,37.8,2,-99,1,,1,1,1,0,0,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,2,担心政策变化,2,4,1,3,,1,0,0,1,0,2,3,2,,1,1,0,1,0,,1,0,0,0,1,0,2,,0,0,1,1,1,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,,,,,,1,1,4,1,3,1,5,1,,1,0,0,1,1,0,6.0,48.5,1,33.5,1,7,3,5,1,2,33.8,9.2,3,1,1,1,3,-99,,0,0,0,0,0,0,1,2,-99,,,,,,,1,,0,0,0,0,0,0,0,1,3,流转给合作社统一经营,2,"外出务工, 家中老人耕种",1,"自家食用为主, 剩余出售",4,"自家食用为主, 剩余出售"
2,3,5,2,199207,5,1,1,1,4,1,,0,0,0,0,0,13.3,8.2,25.5,1.5,28.4,38.1,6,28.7,20.9,5,-99,种粮补贴较稳定,"外出务工, 家中老人耕种",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,流转给合作社统一经营,流转给合作社统一经营,"外出务工, 家中老人耕种",20.9,3,,1,1,1,0,,0,0,0,1,0,1,,0,1,1,0,0,0,0,19.1,2.3,3,2,39.4,9.0,2,-99,2,-99,,,,,,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,6,种粮补贴较稳定,6,4,1,3,,0,0,0,0,1,3,6,1,,1,0,1,0,1,,0,1,1,0,1,0,4,,1,1,1,0,0,1,2,18.1,1,1,-99,4,3,19.3,11.3,2,2,-99,-99,,,,,,1,1,5,6,1,1,4,6,,1,1,0,0,0,1,8.7,26.1,5,49.5,1,7,5,2,1,3,7.6,35.0,2,4,2,4,1,-99,,0,0,1,0,1,0,1,2,-99,,,,,,,2,-99,,,,,,,,,4,"外出务工, 家中老人耕种",2,流转给合作社统一经营,1,"自家食用为主, 剩余出售",2,担心政策变化
1,5,4,1,198510,4,-88,1,1,7,1,,26.0,15.0,11.0,0,0,49.3,16.3,2.5,23.5,38.3,43.5,4,49.3,22.8,4,-99,种粮补贴较稳定,担心政策变化,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,22.3,11.3,,1,0,1,0,0,16.5,2,2,1,,0,1,1,0,0,1,0,0,1,,1,0,1,0,2,30.2,6,31.2,1,4,流转给合作社统一经营,14.4,3,"外出务工, 家中老人耕种",担心政策变化,种粮补贴较稳定,6.3,4,,1,0,0,0,,0,0,0,0,1,1,,0,0,1,1,0,1,0,48.4,6.0,2,1,22.4,15.8,1,1,2,-99,,,,,,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,1,流转给合作社统一经营,3,3,1,3,,1,0,1,0,0,1,6,1,,0,1,0,0,0,,0,1,0,0,0,0,3,,0,0,0,1,0,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,,,,,,1,4,3,2,2,2,1,2,,1,0,0,1,0,0,6.3,22.2,4,30.6,3,2,6,5,1,5,48.6,44.2,3,3,1,5,1,-99,,1,0,0,0,1,0,0,1,,1,0,0,0,1,0,1,,0,0,0,0,0,0,0,1,2,担心政策变化,2,担心政策变化,3,"外出务工, 家中老人耕种",3,种粮补贴较稳定
